row,col,lat,lon,elev
12,14,12.946,80.172,11.0
12,15,12.946,80.18,7.0
12,16,12.946,80.188,7.0
12,17,12.946,80.196,12.0
12,18,12.946,80.204,2.0
12,19,12.946,80.212,7.0
12,20,12.946,80.22,1.0
12,21,12.946,80.228,1.0
12,22,12.946,80.236,8.0
12,23,12.946,80.244,5.0
12,24,12.946,80.252,6.0
12,25,12.946,80.26,9.0
12,26,12.946,80.268,0.0
12,27,12.946,80.276,0.0
12,28,12.946,80.284,0.0
12,29,12.946,80.292,0.0
12,30,12.946,80.3,0.0
12,31,12.946,80.308,0.0
12,32,12.946,80.316,0.0
13,0,12.954,80.06,27.0
13,1,12.954,80.068,32.0
13,2,12.954,80.076,19.0
13,3,12.954,80.084,22.0
13,4,12.954,80.092,16.0
13,5,12.954,80.1,16.0
13,6,12.954,80.108,15.0
13,7,12.954,80.116,23.0
13,8,12.954,80.124,17.0
13,9,12.954,80.132,37.0
13,10,12.954,80.14,34.0
13,11,12.954,80.148,25.0
13,12,12.954,80.156,17.0
13,13,12.954,80.164,14.0
13,14,12.954,80.172,12.0
13,15,12.954,80.18,10.0
13,16,12.954,80.188,10.0
13,17,12.954,80.196,6.0
13,18,12.954,80.204,3.0
13,19,12.954,80.212,5.0
13,20,12.954,80.22,5.0
13,21,12.954,80.228,9.0
13,22,12.954,80.236,6.0
13,23,12.954,80.244,7.0
13,24,12.954,80.252,5.0
13,25,12.954,80.26,9.0
13,26,12.954,80.268,0.0
13,27,12.954,80.276,0.0
13,28,12.954,80.284,0.0
13,29,12.954,80.292,0.0
13,30,12.954,80.3,0.0
13,31,12.954,80.308,0.0
13,32,12.954,80.316,0.0
14,0,12.962,80.06,27.0
14,1,12.962,80.068,25.0
14,2,12.962,80.076,22.0
14,3,12.962,80.084,21.0
14,4,12.962,80.092,18.0
14,5,12.962,80.1,15.0
14,6,12.962,80.108,14.0
14,7,12.962,80.116,21.0
14,8,12.962,80.124,20.0
14,9,12.962,80.132,22.0
14,10,12.962,80.14,28.0
14,11,12.962,80.148,24.0
14,12,12.962,80.156,27.0
14,13,12.962,80.164,23.0
14,14,12.962,80.172,25.0
14,15,12.962,80.18,13.0
14,16,12.962,80.188,14.0
14,17,12.962,80.196,12.0
14,18,12.962,80.204,8.0
14,19,12.962,80.212,3.0
14,20,12.962,80.22,4.0
14,21,12.962,80.228,1.0
14,22,12.962,80.236,5.0
14,23,12.962,80.244,13.0
14,24,12.962,80.252,6.0
14,25,12.962,80.26,9.0
14,26,12.962,80.268,0.0
14,27,12.962,80.276,0.0
14,28,12.962,80.284,0.0
14,29,12.962,80.292,0.0
14,30,12.962,80.3,0.0
14,31,12.962,80.308,0.0
14,32,12.962,80.316,0.0
15,0,12.97,80.06,25.0
15,1,12.97,80.068,20.0
15,2,12.97,80.076,19.0
15,3,12.97,80.084,18.0
15,4,12.97,80.092,22.0
15,5,12.97,80.1,17.0
15,6,12.97,80.108,15.0
15,7,12.97,80.116,14.0
15,8,12.97,80.124,21.0
15,9,12.97,80.132,25.0
15,10,12.97,80.14,21.0
15,11,12.97,80.148,25.0
15,12,12.97,80.156,31.0
15,13,12.97,80.164,79.0
15,14,12.97,80.172,27.0
15,15,12.97,80.18,14.0
15,16,12.97,80.188,18.0
15,17,12.97,80.196,11.0
15,18,12.97,80.204,7.0
15,19,12.97,80.212,5.0
15,20,12.97,80.22,7.0
15,21,12.97,80.228,4.0
15,22,12.97,80.236,12.0
15,23,12.97,80.244,9.0
15,24,12.97,80.252,7.0
15,25,12.97,80.26,11.0
15,26,12.97,80.268,0.0
15,27,12.97,80.276,0.0
15,28,12.97,80.284,0.0
15,29,12.97,80.292,0.0
15,30,12.97,80.3,0.0
15,31,12.97,80.308,0.0
15,32,12.97,80.316,0.0
16,0,12.978,80.06,23.0
16,1,12.978,80.068,27.0
16,2,12.978,80.076,20.0
16,3,12.978,80.084,19.0
16,4,12.978,80.092,20.0
16,5,12.978,80.1,21.0
16,6,12.978,80.108,17.0
16,7,12.978,80.116,16.0
16,8,12.978,80.124,16.0
16,9,12.978,80.132,23.0
16,10,12.978,80.14,20.0
16,11,12.978,80.148,16.0
16,12,12.978,80.156,21.0
16,13,12.978,80.164,25.0
16,14,12.978,80.172,22.0
16,15,12.978,80.18,19.0
16,16,12.978,80.188,17.0
16,17,12.978,80.196,12.0
16,18,12.978,80.204,7.0
16,19,12.978,80.212,7.0
16,20,12.978,80.22,12.0
16,21,12.978,80.228,6.0
16,22,12.978,80.236,5.0
16,23,12.978,80.244,5.0
16,24,12.978,80.252,6.0
16,25,12.978,80.26,10.0
16,26,12.978,80.268,0.0
16,27,12.978,80.276,0.0
16,28,12.978,80.284,0.0
16,29,12.978,80.292,0.0
16,30,12.978,80.3,0.0
16,31,12.978,80.308,0.0
16,32,12.978,80.316,0.0
17,0,12.986,80.06,21.0
17,1,12.986,80.068,28.0
17,2,12.986,80.076,21.0
17,3,12.986,80.084,24.0
17,4,12.986,80.092,22.0
17,5,12.986,80.1,20.0
17,6,12.986,80.108,19.0
17,7,12.986,80.116,18.0
17,8,12.986,80.124,10.0
17,9,12.986,80.132,16.0
17,10,12.986,80.14,19.0
17,11,12.986,80.148,13.0
17,12,12.986,80.156,12.0
17,13,12.986,80.164,12.0
17,14,12.986,80.172,19.0
17,15,12.986,80.18,15.0
17,16,12.986,80.188,16.0
17,17,12.986,80.196,10.0
17,18,12.986,80.204,11.0
17,19,12.986,80.212,10.0
17,20,12.986,80.22,10.0
17,21,12.986,80.228,14.0
17,22,12.986,80.236,14.0
17,23,12.986,80.244,7.0
17,24,12.986,80.252,5.0
17,25,12.986,80.26,10.0
17,26,12.986,80.268,5.0
17,27,12.986,80.276,0.0
17,28,12.986,80.284,0.0
17,29,12.986,80.292,0.0
17,30,12.986,80.3,0.0
17,31,12.986,80.308,0.0
17,32,12.986,80.316,0.0
18,0,12.994,80.06,21.0
18,1,12.994,80.068,22.0
18,2,12.994,80.076,25.0
18,3,12.994,80.084,20.0
18,4,12.994,80.092,23.0
18,5,12.994,80.1,20.0
18,6,12.994,80.108,21.4
18,7,12.994,80.116,20.8
18,8,12.994,80.124,20.2
18,9,12.994,80.132,19.6
18,10,12.994,80.14,19.0
18,11,12.994,80.148,18.4
18,12,12.994,80.156,17.8
18,13,12.994,80.164,17.2
18,14,12.994,80.172,16.6
18,15,12.994,80.18,16.0
18,16,12.994,80.188,15.4
18,17,12.994,80.196,14.8
