row,col,lat,lon,elevation_m,flow_accumulation_cells,catchment_km2,twi,slope_deg
9,5,12.922,80.1,18.0,7.0,5.2652,14.72,0.14
9,6,12.922,80.108,25.0,2.0,1.5044,12.28,0.462
9,7,12.922,80.116,33.0,1.0,0.7522,11.45,0.528
9,8,12.922,80.124,43.0,1.0,0.7522,10.89,0.925
9,9,12.922,80.132,29.0,2.0,1.5044,12.84,0.264
9,10,12.922,80.14,29.0,1.0,0.7522,11.68,0.42
9,11,12.922,80.148,24.0,1.0,0.7522,11.68,0.42
9,12,12.922,80.156,25.0,1.0,0.7522,11.23,0.661
9,13,12.922,80.164,22.0,1.0,0.7522,11.45,0.528
9,14,12.922,80.172,27.0,1.0,0.7522,11.23,0.661
9,15,12.922,80.18,17.0,2.0,1.5044,12.62,0.327
9,16,12.922,80.188,18.0,1.0,0.7522,11.45,0.528
9,17,12.922,80.196,18.0,1.0,0.7522,11.23,0.661
9,18,12.922,80.204,15.0,1.0,0.7522,10.97,0.859
9,19,12.922,80.212,2.0,3.0,2.2565,14.63,0.066
9,20,12.922,80.22,1.0,4.0,3.0087,15.06,0.05
9,21,12.922,80.228,5.0,1.0,0.7522,12.14,0.264
9,22,12.922,80.236,3.0,1.0,0.7522,12.84,0.132
9,23,12.922,80.244,1.0,6.0,4.5131,15.46,0.05
9,24,12.922,80.252,12.0,7.0,5.2652,12.99,0.793
9,25,12.922,80.26,0.0,8.0,6.0174,15.75,0.05
9,26,12.922,80.268,0.0,9.0,6.7696,15.87,0.05
9,27,12.922,80.276,0.0,10.0,7.5218,15.98,0.05
9,28,12.922,80.284,0.0,11.0,8.2739,16.07,0.05
9,29,12.922,80.292,0.0,12.0,9.0261,16.16,0.05
9,30,12.922,80.3,0.0,13.0,9.7783,16.24,0.05
9,31,12.922,80.308,0.0,14.0,10.5305,16.31,0.05
9,32,12.922,80.316,0.0,15.0,11.2826,16.38,0.05
10,0,12.93,80.06,18.0,1.0,0.7522,13.53,0.066
10,1,12.93,80.068,17.0,2.0,1.5044,14.22,0.066
10,2,12.93,80.076,16.0,3.0,2.2565,14.63,0.066
10,3,12.93,80.084,15.0,39.0,29.3349,17.34,0.05
10,4,12.93,80.092,15.0,48.0,36.1045,17.54,0.05
10,5,12.93,80.1,20.0,2.0,1.5044,12.61,0.33
10,6,12.93,80.108,32.0,1.0,0.7522,11.05,0.793
10,7,12.93,80.116,33.0,1.0,0.7522,11.74,0.396
10,8,12.93,80.124,31.0,1.0,0.7522,12.49,0.187
10,9,12.93,80.132,32.0,1.0,0.7522,11.74,0.396
10,10,12.93,80.14,26.0,2.0,1.5044,12.43,0.396
10,11,12.93,80.148,20.0,5.0,3.7609,13.53,0.33
10,12,12.93,80.156,15.0,9.0,6.7696,14.98,0.14
10,13,12.93,80.164,19.0,1.0,0.7522,11.59,0.462
10,14,12.93,80.172,30.0,1.0,0.7522,10.64,1.189
10,15,12.93,80.18,19.0,1.0,0.7522,11.33,0.595
10,16,12.93,80.188,10.0,5.0,3.7609,14.39,0.14
10,17,12.93,80.196,8.0,2.0,1.5044,14.22,0.066
