water_body_id,osm_id,osm_type,name,category,water_type,latitude,longitude,city
wb-way-384790301,384790301,way,Unnamed Pond (wb-way-384790301),pond,pond,13.028767,80.056383,Chennai
wb-way-384790302,384790302,way,Unnamed Pond (wb-way-384790302),pond,pond,13.029651,80.056816,Chennai
wb-way-384790303,384790303,way,Unnamed Pond (wb-way-384790303),pond,pond,13.029997,80.059466,Chennai
wb-way-384790304,384790304,way,Unnamed Pond (wb-way-384790304),pond,pond,13.031537,80.057395,Chennai
wb-way-384790335,384790335,way,Unnamed Pond (wb-way-384790335),pond,pond,13.042817,80.066298,Chennai
wb-way-384791809,384791809,way,Unnamed Pond (wb-way-384791809),pond,pond,12.888246,80.128179,Chennai
wb-way-384796268,384796268,way,Unnamed Pond (wb-way-384796268),pond,pond,12.887444,80.186838,Chennai
wb-way-384799421,384799421,way,Unnamed Pond (wb-way-384799421),pond,pond,12.855097,80.132001,Chennai
wb-way-384799422,384799422,way,Unnamed Pond (wb-way-384799422),pond,pond,12.855226,80.132976,Chennai
wb-way-384799423,384799423,way,Unnamed Pond (wb-way-384799423),pond,pond,12.855422,80.132359,Chennai
wb-way-384799424,384799424,way,Unnamed Pond (wb-way-384799424),pond,pond,12.856209,80.132961,Chennai
wb-way-384801134,384801134,way,Unnamed Pond (wb-way-384801134),pond,pond,12.85867,80.134971,Chennai
wb-way-384801207,384801207,way,Unnamed Pond (wb-way-384801207),pond,pond,12.85729,80.144506,Chennai
wb-way-384806324,384806324,way,Unnamed Pond (wb-way-384806324),pond,pond,12.857014,80.16824,Chennai
wb-way-384806375,384806375,way,Unnamed Pond (wb-way-384806375),pond,pond,12.871184,80.16623,Chennai
wb-way-384807075,384807075,way,Unnamed Pond (wb-way-384807075),pond,pond,12.855088,80.173225,Chennai
wb-way-384807076,384807076,way,Unnamed Pond (wb-way-384807076),pond,pond,12.854853,80.174355,Chennai
wb-way-384807077,384807077,way,Unnamed Pond (wb-way-384807077),pond,pond,12.854742,80.176736,Chennai
wb-way-384807078,384807078,way,Unnamed Pond (wb-way-384807078),pond,pond,12.856216,80.167135,Chennai
wb-way-384807082,384807082,way,Unnamed Pond (wb-way-384807082),pond,pond,12.868695,80.156708,Chennai
wb-way-384807083,384807083,way,Unnamed Pond (wb-way-384807083),pond,pond,12.870305,80.157306,Chennai
wb-way-384811778,384811778,way,Unnamed Pond (wb-way-384811778),pond,pond,12.860119,80.192333,Chennai
wb-way-384811807,384811807,way,Unnamed Pond (wb-way-384811807),pond,pond,12.860285,80.187402,Chennai
wb-way-384811808,384811808,way,Unnamed Pond (wb-way-384811808),pond,pond,12.859213,80.188149,Chennai
wb-way-384811809,384811809,way,Unnamed Pond (wb-way-384811809),pond,pond,12.858928,80.187467,Chennai
wb-way-384811811,384811811,way,Unnamed Pond (wb-way-384811811),pond,pond,12.860793,80.18731,Chennai
wb-way-384811812,384811812,way,Unnamed Pond (wb-way-384811812),pond,pond,12.860243,80.189326,Chennai
wb-way-384811817,384811817,way,Unnamed Pond (wb-way-384811817),pond,pond,12.862019,80.187948,Chennai
wb-way-384821563,384821563,way,Unnamed Pond (wb-way-384821563),pond,pond,13.056146,80.058419,Chennai
wb-way-384821602,384821602,way,Unnamed Pond (wb-way-384821602),pond,pond,13.065684,80.052773,Chennai
wb-way-384821604,384821604,way,Unnamed Pond (wb-way-384821604),pond,pond,13.064288,80.055239,Chennai
wb-way-384836620,384836620,way,Unnamed Pond (wb-way-384836620),pond,pond,13.045171,80.079767,Chennai
wb-way-384836621,384836621,way,Unnamed Pond (wb-way-384836621),pond,pond,13.029283,80.080308,Chennai
wb-way-384836634,384836634,way,Unnamed Pond (wb-way-384836634),pond,pond,13.028842,80.085119,Chennai
wb-way-384972833,384972833,way,Unnamed Reservoir (wb-way-384972833),reservoir,reservoir,13.223144,80.197752,Chennai
wb-way-384972834,384972834,way,Unnamed Reservoir (wb-way-384972834),reservoir,reservoir,13.222981,80.197725,Chennai
wb-way-384972835,384972835,way,Unnamed Reservoir (wb-way-384972835),reservoir,reservoir,13.222821,80.197697,Chennai
wb-way-384972836,384972836,way,Unnamed Reservoir (wb-way-384972836),reservoir,reservoir,13.222665,80.197672,Chennai
wb-way-384972837,384972837,way,Unnamed Reservoir (wb-way-384972837),reservoir,reservoir,13.222462,80.197657,Chennai
wb-way-384972838,384972838,way,Unnamed Reservoir (wb-way-384972838),reservoir,reservoir,13.222255,80.197642,Chennai
wb-way-384972839,384972839,way,Unnamed Reservoir (wb-way-384972839),reservoir,reservoir,13.222067,80.197619,Chennai
wb-way-384972840,384972840,way,Unnamed Reservoir (wb-way-384972840),reservoir,reservoir,13.221907,80.197602,Chennai
wb-way-384972841,384972841,way,Unnamed Reservoir (wb-way-384972841),reservoir,reservoir,13.223908,80.197816,Chennai
wb-way-384972842,384972842,way,Unnamed Reservoir (wb-way-384972842),reservoir,reservoir,13.22388,80.197935,Chennai
wb-way-384972862,384972862,way,Unnamed Reservoir (wb-way-384972862),reservoir,reservoir,13.221753,80.195746,Chennai
wb-way-384975433,384975433,way,Unnamed Reservoir (wb-way-384975433),reservoir,reservoir,13.227642,80.178447,Chennai
wb-way-384975750,384975750,way,Unnamed Reservoir (wb-way-384975750),reservoir,reservoir,13.231347,80.185528,Chennai
wb-way-384975751,384975751,way,Unnamed Reservoir (wb-way-384975751),reservoir,reservoir,13.231326,80.185252,Chennai
wb-way-384975752,384975752,way,Unnamed Reservoir (wb-way-384975752),reservoir,reservoir,13.231041,80.18527,Chennai
wb-way-384975753,384975753,way,Unnamed Reservoir (wb-way-384975753),reservoir,reservoir,13.230827,80.185292,Chennai
wb-way-384975754,384975754,way,Unnamed Reservoir (wb-way-384975754),reservoir,reservoir,13.231428,80.184973,Chennai
wb-way-384975755,384975755,way,Unnamed Reservoir (wb-way-384975755),reservoir,reservoir,13.231282,80.18497,Chennai
wb-way-384975756,384975756,way,Unnamed Reservoir (wb-way-384975756),reservoir,reservoir,13.231159,80.184975,Chennai
wb-way-384975757,384975757,way,Unnamed Reservoir (wb-way-384975757),reservoir,reservoir,13.231008,80.184992,Chennai
wb-way-384975758,384975758,way,Unnamed Reservoir (wb-way-384975758),reservoir,reservoir,13.230817,80.185021,Chennai
wb-way-385000408,385000408,way,Unnamed Pond (wb-way-385000408),pond,pond,13.218653,80.223,Chennai
wb-way-385002770,385002770,way,Unnamed Pond (wb-way-385002770),pond,pond,13.228419,80.219742,Chennai
wb-way-385006228,385006228,way,Unnamed Pond (wb-way-385006228),pond,pond,13.23381,80.213313,Chennai
wb-way-385008764,385008764,way,Unnamed Pond (wb-way-385008764),pond,pond,13.230929,80.205513,Chennai
wb-way-385008774,385008774,way,Unnamed Pond (wb-way-385008774),pond,pond,13.219508,80.203716,Chennai
wb-way-385009467,385009467,way,Unnamed Pond (wb-way-385009467),pond,pond,13.236299,80.207179,Chennai
wb-way-385009468,385009468,way,Unnamed Pond (wb-way-385009468),pond,pond,13.236501,80.207402,Chennai
wb-way-385009488,385009488,way,Unnamed Pond (wb-way-385009488),pond,pond,13.228996,80.205516,Chennai
wb-way-385010305,385010305,way,Unnamed Pond (wb-way-385010305),pond,pond,13.237728,80.214716,Chennai
wb-way-385010306,385010306,way,Unnamed Pond (wb-way-385010306),pond,pond,13.236589,80.213957,Chennai
wb-way-385010307,385010307,way,Unnamed Pond (wb-way-385010307),pond,pond,13.23726,80.214467,Chennai
wb-way-385027263,385027263,way,Unnamed Wetland (wb-way-385027263),wetland,wetland,13.206496,80.154014,Chennai
wb-way-385030602,385030602,way,Unnamed Pond (wb-way-385030602),pond,pond,12.972247,80.166882,Chennai
wb-way-385032247,385032247,way,Unnamed Pond (wb-way-385032247),pond,pond,12.964489,80.170944,Chennai
wb-way-385065000,385065000,way,Unnamed Pond (wb-way-385065000),pond,pond,13.08935,80.059207,Chennai
wb-way-385065002,385065002,way,Unnamed Pond (wb-way-385065002),pond,pond,13.090985,80.056578,Chennai
